gid,team,b_r,p_r,date,number,vishome,opp,win,loss,tie,gametype
OAK201004160,OAK,4,2,20100416,0,h,BAL,1,0,0,regular
PHI201004160,FLO,6,8,20100416,0,v,PHI,0,1,0,regular
PHI201004160,PHI,8,6,20100416,0,h,FLO,1,0,0,regular
PIT201004160,CIN,3,4,20100416,0,v,PIT,0,1,0,regular
PIT201004160,PIT,4,3,20100416,0,h,CIN,1,0,0,regular
SDN201004160,ARI,3,6,20100416,0,v,SDN,0,1,0,regular
SDN201004160,SDN,6,3,20100416,0,h,ARI,1,0,0,regular
SEA201004160,DET,3,11,20100416,0,v,SEA,0,1,0,regular
SEA201004160,SEA,11,3,20100416,0,h,DET,1,0,0,regular
SLN201004160,NYN,3,4,20100416,0,v,SLN,0,1,0,regular
SLN201004160,SLN,4,3,20100416,0,h,NYN,1,0,0,regular
TOR201004160,ANA,7,5,20100416,0,v,TOR,1,0,0,regular
TOR201004160,TOR,5,7,20100416,0,h,ANA,0,1,0,regular
WAS201004160,MIL,3,5,20100416,0,v,WAS,0,1,0,regular
WAS201004160,WAS,5,3,20100416,0,h,MIL,1,0,0,regular
ATL201004170,COL,4,0,20100417,0,v,ATL,1,0,0,regular
ATL201004170,ATL,0,4,20100417,0,h,COL,0,1,0,regular
BOS201004170,TBA,6,5,20100417,0,v,BOS,1,0,0,regular
BOS201004170,BOS,5,6,20100417,0,h,TBA,0,1,0,regular
CHN201004170,HOU,4,3,20100417,0,v,CHN,1,0,0,regular
CHN201004170,CHN,3,4,20100417,0,h,HOU,0,1,0,regular
CLE201004170,CHA,2,3,20100417,0,v,CLE,0,1,0,regular
CLE201004170,CLE,3,2,20100417,0,h,CHA,1,0,0,regular
LAN201004170,SFN,9,0,20100417,0,v,LAN,1,0,0,regular
LAN201004170,LAN,0,9,20100417,0,h,SFN,0,1,0,regular
MIN201004170,KCA,5,6,20100417,0,v,MIN,0,1,0,regular
MIN201004170,MIN,6,5,20100417,0,h,KCA,1,0,0,regular
NYA201004170,TEX,3,7,20100417,0,v,NYA,0,1,0,regular
NYA201004170,NYA,7,3,20100417,0,h,TEX,1,0,0,regular
OAK201004170,BAL,3,4,20100417,0,v,OAK,0,1,0,regular
OAK201004170,OAK,4,3,20100417,0,h,BAL,1,0,0,regular
PHI201004170,FLO,5,1,20100417,0,v,PHI,1,0,0,regular
PHI201004170,PHI,1,5,20100417,0,h,FLO,0,1,0,regular
PIT201004170,CIN,4,5,20100417,0,v,PIT,0,1,0,regular
PIT201004170,PIT,5,4,20100417,0,h,CIN,1,0,0,regular
SDN201004170,ARI,0,5,20100417,0,v,SDN,0,1,0,regular
SDN201004170,SDN,5,0,20100417,0,h,ARI,1,0,0,regular
SEA201004170,DET,2,4,20100417,0,v,SEA,0,1,0,regular
SEA201004170,SEA,4,2,20100417,0,h,DET,1,0,0,regular
SLN201004170,NYN,2,1,20100417,0,v,SLN,1,0,0,regular
SLN201004170,SLN,1,2,20100417,0,h,NYN,0,1,0,regular
TOR201004170,ANA,6,3,20100417,0,v,TOR,1,0,0,regular
TOR201004170,TOR,3,6,20100417,0,h,ANA,0,1,0,regular
WAS201004170,MIL,0,8,20100417,0,v,WAS,0,1,0,regular
WAS201004170,WAS,8,0,20100417,0,h,MIL,1,0,0,regular
ATL201004180,COL,3,4,20100418,0,v,ATL,0,1,0,regular
ATL201004180,ATL,4,3,20100418,0,h,COL,1,0,0,regular
BOS201004180,TBA,7,1,20100418,0,v,BOS,1,0,0,regular
BOS201004180,BOS,1,7,20100418,0,h,TBA,0,1,0,regular
CHN201004180,HOU,3,2,20100418,0,v,CHN,1,0,0,regular
CHN201004180,CHN,2,3,20100418,0,h,HOU,0,1,0,regular
CLE201004180,CHA,4,7,20100418,0,v,CLE,0,1,0,regular
CLE201004180,CLE,7,4,20100418,0,h,CHA,1,0,0,regular
LAN201004180,SFN,1,2,20100418,0,v,LAN,0,1,0,regular
LAN201004180,LAN,2,1,20100418,0,h,SFN,1,0,0,regular
MIN201004180,KCA,10,5,20100418,0,v,MIN,1,0,0,regular
MIN201004180,MIN,5,10,20100418,0,h,KCA,0,1,0,regular
NYA201004180,TEX,2,5,20100418,0,v,NYA,0,1,0,regular
NYA201004180,NYA,5,2,20100418,0,h,TEX,1,0,0,regular
OAK201004180,BAL,8,3,20100418,0,v,OAK,1,0,0,regular
OAK201004180,OAK,3,8,20100418,0,h,BAL,0,1,0,regular
PHI201004180,FLO,2,0,20100418,0,v,PHI,1,0,0,regular
PHI201004180,PHI,0,2,20100418,0,h,FLO,0,1,0,regular
PIT201004180,CIN,3,5,20100418,0,v,PIT,0,1,0,regular
PIT201004180,PIT,5,3,20100418,0,h,CIN,1,0,0,regular
SDN201004180,ARI,3,5,20100418,0,v,SDN,0,1,0,regular
SDN201004180,SDN,5,3,20100418,0,h,ARI,1,0,0,regular
SEA201004180,DET,4,2,20100418,0,v,SEA,1,0,0,regular
SEA201004180,SEA,2,4,20100418,0,h,DET,0,1,0,regular
SLN201004180,NYN,3,5,20100418,0,v,SLN,0,1,0,regular
SLN201004180,SLN,5,3,20100418,0,h,NYN,1,0,0,regular
TOR201004180,ANA,3,1,20100418,0,v,TOR,1,0,0,regular
TOR201004180,TOR,1,3,20100418,0,h,ANA,0,1,0,regular
WAS201004180,MIL,11,7,20100418,0,v,WAS,1,0,0,regular
WAS201004180,WAS,7,11,20100418,0,h,MIL,0,1,0,regular
ANA201004190,DET,0,2,20100419,0,v,ANA,0,1,0,regular
ANA201004190,ANA,2,0,20100419,0,h,DET,1,0,0,regular
ARI201004190,SLN,4,2,20100419,0,v,ARI,1,0,0,regular
ARI201004190,ARI,2,4,20100419,0,h,SLN,0,1,0,regular
BOS201004190,TBA,8,2,20100419,0,v,BOS,1,0,0,regular
BOS201004190,BOS,2,8,20100419,0,h,TBA,0,1,0,regular
NYN201004190,CHN,1,6,20100419,0,v,NYN,0,1,0,regular
NYN201004190,NYN,6,1,20100419,0,h,CHN,1,0,0,regular
SDN201004190,SFN,2,3,20100419,0,v,SDN,0,1,0,regular
SDN201004190,SDN,3,2,20100419,0,h,SFN,1,0,0,regular
SEA201004190,BAL,2,8,20100419,0,v,SEA,0,1,0,regular
SEA201004190,SEA,8,2,20100419,0,h,BAL,1,0,0,regular
TOR201004190,KCA,1,8,20100419,0,v,TOR,0,1,0,regular
TOR201004190,TOR,8,1,20100419,0,h,KCA,1,0,0,regular
WAS201004190,COL,2,5,20100419,0,v,WAS,0,1,0,regular
WAS201004190,WAS,5,2,20100419,0,h,COL,1,0,0,regular
ANA201004200,DET,5,6,20100420,0,v,ANA,0,1,0,regular
